# NASA Exoplanet Archive PSCompPars snapshot (shipped with the release)
# fetched: 2026-08-09T19:15:07Z
# endpoint: https://exoplanetarchive.ipac.caltech.edu/TAP/sync
# query: select pl_name,st_spectype,st_teff,st_logg,st_met,st_metratio,st_rad,sy_kmag,pl_radj,pl_bmassj,pl_bmassprov,pl_orbsmax,pl_trandur from pscomppars where tran_flag=1 and st_teff is not null and st_rad is not null and pl_radj is not null and pl_orbsmax is not null order by pl_name
# rows: 4355
pl_name,st_spectype,st_teff,st_logg,st_met,st_metratio,st_rad,sy_kmag,pl_radj,pl_bmassj,pl_bmassprov,pl_orbsmax,pl_trandur
Gaia-2 b,,5720.00,4.373550,,,1.064000,9.7420000,1.32200000,0.81700000,Mass,0.0467000000,2.7207580
Gliese 12 b,M4 V,3328.00,5.250000,-0.2400,[Fe/H],0.265000,7.8070000,0.08296919,0.00298903,Mass,0.0670000000,1.2000000
HAT-P-1 b,G0 V,5980.00,4.359000,0.1300,[Fe/H],1.174000,8.8580000,1.31900000,0.52500000,Mass,0.0556100000,2.8500000
HAT-P-11 b,K4,4653.00,4.663000,0.3100,[Fe/H],0.683000,7.0090000,0.38897315,0.07870000,Mass,0.0525800000,2.3556200
HAT-P-12 b,K4,4650.00,4.610000,-0.2900,[Fe/H],0.701000,10.1080000,0.95900000,0.21100000,Mass,0.0384000000,2.3376000
HAT-P-13 b,G4,5653.00,4.070000,0.4600,[Fe/H],1.756000,8.9750000,1.27200000,0.85100000,Mass,0.0438300000,3.2868100
HAT-P-14 b,F5 V,6600.00,4.250000,0.1100,[Fe/H],1.820000,8.8510000,1.42000000,3.44000000,Mass,0.0596000000,2.1888000
HAT-P-15 b,G5,5568.00,4.380000,0.2200,[Fe/H],1.070000,9.6410000,1.06000000,1.94000000,Mass,0.0965000000,5.4840000
HAT-P-16 b,F8,6140.00,4.396000,0.1700,[Fe/H],1.158000,9.5530010,1.31000000,4.22100000,Mass,0.0413000000,3.0624000
HAT-P-17 b,K,5246.00,4.530000,0.0000,[Fe/H],0.870000,8.5440000,1.05000000,0.58000000,Mass,0.0892000000,3.9940000
HAT-P-18 b,K2,4803.00,4.570000,0.1000,[Fe/H],0.749000,10.2340000,0.99500000,0.19700000,Mass,0.0559000000,2.7144000
HAT-P-19 b,K1,4962.00,4.568700,0.1660,[Fe/H],0.773000,10.5460000,1.00800000,0.27700000,Mass,0.0459900000,2.8368000
HAT-P-2 b,F8,6380.00,4.160000,0.1800,[Fe/H],1.390000,7.6030000,0.95100000,9.02000000,Mass,0.0681400000,4.2888000
HAT-P-20 b,K3,4595.00,4.630000,0.3500,[Fe/H],0.694000,8.6010000,0.86700000,7.24600000,Mass,0.0361000000,1.8480000
HAT-P-21 b,G3,5588.00,4.330000,0.0100,[Fe/H],1.210000,10.1110000,1.11000000,4.87000000,Mass,0.0503700000,3.6720000
HAT-P-22 b,G5 V,5302.00,4.360000,0.2400,[Fe/H],1.110000,7.8370000,1.15000000,2.47000000,Mass,0.0414000000,2.6530000
HAT-P-23 b,G0,5905.00,4.330000,0.1500,[Fe/H],1.203000,10.7910000,1.36800000,2.09000000,Mass,0.0232000000,2.1792000
HAT-P-24 b,F8,6373.00,4.270000,-0.1600,[Fe/H],1.380000,10.5430000,1.30000000,0.75000000,Mass,0.0465100000,3.6940000
HAT-P-25 b,G5,5519.00,4.516000,0.2940,[Fe/H],0.919000,10.8150000,1.13500000,0.56900000,Mass,0.0466000000,2.8130400
HAT-P-26 b,K1,5079.00,4.560000,-0.0400,[Fe/H],0.870000,9.5810000,0.63000000,0.07000000,Mass,0.0474800000,2.4552000
HAT-P-27 b,G8,5316.00,4.526260,0.3000,[M/H],0.864673,10.1090000,1.02000000,0.62000000,Mass,0.0400000000,1.6800000
HAT-P-28 b,G3,5680.00,4.360000,0.1200,[Fe/H],1.103000,11.1040000,1.21200000,0.62600000,Mass,0.0434000000,3.2184000
HAT-P-29 b,F8,6087.00,4.340000,0.2100,[Fe/H],1.300000,10.2970000,1.17000000,0.88000000,Mass,0.0667000000,3.8928000
HAT-P-3 b,K1,5185.00,4.560000,0.2700,[Fe/H],0.870000,9.4480000,0.94000000,0.65000000,Mass,0.0386600000,2.0808000
HAT-P-30 b,F7,6304.00,4.360000,0.1300,[Fe/H],1.310000,9.1510000,1.44000000,0.83000000,Mass,0.0419000000,2.2499254
HAT-P-31 b,,6065.00,4.260000,0.1500,[Fe/H],1.390000,10.0830000,1.09000000,2.27000000,Mass,0.0610000000,4.9057646
HAT-P-32 b,,6001.00,4.220000,-0.1600,[Fe/H],1.367000,9.9900000,1.98000000,0.68000000,Mass,0.0339700000,3.1204800
